Code,Occupation_Name,Nom_de_la_profession,Employment_emploi_2023,Employment_Growth_croissance_emploi,Retirements_retraites,Other_Replacement_autre_remplacement,Total_Job_Openings_Perspective_d'emploi,School_Leavers_Sortants_scolaires,Immigration,Other_Seekers_autres_chercheurs,Job_Seekers_Chercheurs_emploi,Recent_Labour_Market_Conditions,Conditions_récentes_sur_le_marché_du_travail,Future_Labour_Market_Conditions,Conditions_futures_sur_le_marché_du_travail
63102,Financial sales representatives,Représentants/représentantes des ventes financières,61300,9500,9300,3600,22300,28100,17200,-22700,22600,Balance,À équilibre,Balance,À équilibre
63200,Cooks,Cuisiniers/cuisinières,171700,8500,24500,8100,41100,62300,30400,-52400,40200,Moderate signs of Shortage,Signes modérés de pénurie,Moderate risk of Shortage,Risque modéré de pénurie
63201,Butchers - retail and wholesale,Bouchers/bouchères - commerce de gros et de détail,14400,600,3200,900,4700,2100,1500,900,4500,Moderate signs of Shortage,Signes modérés de pénurie,Moderate risk of Shortage,Risque modéré de pénurie
63202,Bakers,Boulangers-pâtissiers/boulangères-pâtissières,32500,700,6700,1800,9200,7700,6100,-5100,8700,Balance,À équilibre,Balance,À équilibre
63210,Hairstylists and barbers,Coiffeurs/coiffeuses et barbiers,90500,9100,20900,6000,36100,21000,6700,8500,36200,Balance,À équilibre,Balance,À équilibre
63211,"Estheticians, electrologists and related occupations","Esthéticiens/esthéticiennes, électrolystes et personnel assimilé",71300,15400,5200,3700,24300,24000,10400,-9500,24900,Balance,À équilibre,Balance,À équilibre
63220,Shoe repairers and shoemakers,Cordonniers/cordonnières et fabricants/fabricantes de chaussures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/D,N/A,N/D
63221,Upholsterers,Tapissiers-garnisseurs/tapissières-garnisseuses,4000,100,2000,400,2500,100,500,1300,1900,Balance,À équilibre,Balance,À équilibre
64100,Retail salespersons and visual merchandisers,Vendeurs/vendeuses et décorateurs-étalagistes/décoratrices-étalagistes en commerce de détail,579600,20400,91900,28600,140900,188600,58200,-119800,127100,Balance,À équilibre,Balance,À équilibre
64101,Sales and account representatives - wholesale trade (non-technical),Représentants/représentantes des ventes et des comptes - commerce de gros (non-technique),240900,21900,59000,16000,96900,50800,20500,24000,95300,Balance,À équilibre,Balance,À équilibre
64200,"Tailors, dressmakers, furriers and milliners","Tailleurs/tailleuses, couturiers/couturières, fourreurs/fourreuses et modistes",12600,200,5800,1100,7000,400,1700,4900,7000,Balance,À équilibre,Balance,À équilibre
64201,"Image, social and other personal consultants","Conseillers/conseillères imagistes, conseillers mondains/conseillères mondaines et autres conseillers/conseillères en soins personnalisés",1600,100,500,100,800,600,100,-100,600,Balance,À équilibre,Balance,À équilibre
64300,Maîtres d'hôtel and hosts/hostesses,Maîtres d'hôtel et hôtes/hôtesses,54500,5600,2000,1600,9200,21400,2900,-15200,9100,Balance,À équilibre,Balance,À équilibre
64301,Bartenders,Barmans/barmaids,29400,-100,2600,1300,3800,11600,1600,-9200,4000,Balance,À équilibre,Balance,À équilibre
64310,Travel counsellors,Conseillers/conseillères en voyages,14600,700,4000,1000,5700,3500,1100,1300,6000,Balance,À équilibre,Balance,À équilibre
64311,Pursers and flight attendants,Commissaires et agents/agentes de bord,14600,1100,2400,800,4300,4800,600,-200,5100,Balance,À équilibre,Balance,À équilibre
64312,Airline ticket and service agents,Agents/agentes à la billetterie et aux services aériens,15900,1300,2600,900,4800,4700,1700,-1600,4900,Balance,À équilibre,Balance,À équilibre
64313,"Ground and water transport ticket agents, cargo service representatives and related clerks","Agents/agentes à la billetterie, représentants/représentantes du service en matière de fret et personnel assimilé dans le transport routier et maritime",3600,200,700,200,1200,1400,300,0,1600,Balance,À équilibre,Balance,À équilibre
64314,Hotel front desk clerks,Réceptionnistes d'hôtel,19100,3200,3900,1100,8200,8500,4500,-4200,8800,Balance,À équilibre,Balance,À équilibre
64320,Tour and travel guides,Guides touristiques et guides itinérants/guides itinérantes,3800,300,800,300,1300,1200,100,100,1500,Balance,À équilibre,Balance,À équilibre
64321,Casino workers,Travailleurs/travailleuses dans les casinos,7600,-100,1300,500,1700,1600,800,-800,1700,Balance,À équilibre,Balance,À équilibre
64322,Outdoor sport and recreational guides,Guides d'activités récréatives et sportives de plein air,1700,200,600,100,900,1000,100,0,1000,Moderate signs of Surplus,Signes modérés de surplus,Balance,À équilibre
64400,Customer services representatives - financial institutions,Représentants/représentantes au service à la clientèle - institutions financières,71500,7300,13000,3600,24000,32500,16700,-24500,24800,Balance,À équilibre,Balance,À équilibre
64401,Postal services representatives,Représentants/représentantes des services postaux,10300,500,5000,700,6200,1400,600,4200,6200,Moderate signs of Shortage,Signes modérés de pénurie,Moderate risk of Shortage,Risque modéré de pénurie
64409,Other customer and information services representatives,Autres préposés/préposées aux services d'information et aux services à la clientèle,181700,16400,39400,10200,66100,60600,34700,-26600,68700,Balance,À équilibre,Balance,À équilibre
64410,Security guards and related security service occupations,Agents/agentes de sécurité et personnel assimilé des services de sécurité,104200,11500,23000,7200,41600,40700,15200,-15100,40800,Balance,À équilibre,Balance,À équilibre
65100,Cashiers,Caissiers/caissières,349600,13700,46200,13400,73400,94000,32100,-55400,70600,Balance,À équilibre,Balance,À équilibre
65101,Service station attendants,Préposés/préposées de stations-service,12000,-2800,1400,300,-1000,2700,300,-3500,-500,Balance,À équilibre,Balance,À équilibre
65102,"Store shelf stockers, clerks and order fillers","Garnisseurs/garnisseuses de tablettes, commis et préposés/préposées aux commandes dans les magasins",262900,26300,39800,11800,78000,78200,28300,-29000,77500,Balance,À équilibre,Balance,À équilibre
65109,Other sales related occupations,Autre personnel assimilé des ventes,16200,600,5800,1200,7600,4300,2500,300,7100,Balance,À équilibre,Balance,À équilibre
65200,Food and beverage servers,Serveurs/serveuses d'aliments et de boissons,175800,6800,11100,6100,24000,71300,10800,-56700,25400,Balance,À équilibre,Balance,À équilibre
65201,"Food counter attendants, kitchen helpers and related support occupations","Serveurs/serveuses au comptoir, aides de cuisine et personnel de soutien assimilé",383000,39600,35200,13600,88400,115800,56200,-84900,87100,Balance,À équilibre,Balance,À équilibre
65202,Meat cutters and fishmongers – retail and wholesale,Coupeurs/coupeuses de viande et poissonniers/poissonnières – commerce de gros et de détail,5100,-900,1700,300,1000,300,1000,-500,700,Balance,À équilibre,Balance,À équilibre
