title,category,slug,noc_code,median_pay_annual,median_pay_hourly,entry_education,num_jobs_2023,projected_job_openings_2033,outlook_pct,outlook_desc,future_lmc,recent_lmc,url
Other business services managers,Management occupations,other-business-services-managers,10029,116829,58.41,University degree,19800,13600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/1308/ca
Telecommunication carriers managers,Management occupations,telecommunication-carriers-managers,10030,116829,58.41,University degree,11000,3900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/1338/ca
Financial auditors and accountants,"Business, finance and administration",financial-auditors-and-accountants,11100,84807,42.4,University degree,247300,83100,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/113/ca
Financial and investment analysts,"Business, finance and administration",financial-and-investment-analysts,11101,84807,42.4,University degree,77000,26500,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/12417/ca
Financial advisors,"Business, finance and administration",financial-advisors,11102,84807,42.4,University degree,118800,48600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/26548/ca
"Securities agents, investment dealers and brokers","Business, finance and administration",securities-agents-investment-dealers-and-brokers,11103,84807,42.4,University degree,26200,10500,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/17677/ca
Other financial officers,"Business, finance and administration",other-financial-officers,11109,84807,42.4,University degree,46600,21300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/196/ca
Human resources professionals,"Business, finance and administration",human-resources-professionals,11200,84807,42.4,University degree,126700,53800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/241/ca
Professional occupations in business management consulting,"Business, finance and administration",professional-occupations-in-business-management-consulting,11201,84807,42.4,University degree,122300,61600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/296072/ca
"Professional occupations in advertising, marketing and public relations","Business, finance and administration",professional-occupations-in-advertising-marketing-and-public-relations,11202,84807,42.4,University degree,233600,75600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/20996/ca
"Supervisors, general office and administrative support workers","Business, finance and administration",supervisors-general-office-and-administrative-support-workers,12010,67500,33.75,University degree,21300,12400,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/383/ca
"Supervisors, finance and insurance office workers","Business, finance and administration",supervisors-finance-and-insurance-office-workers,12011,67500,33.75,University degree,45900,21500,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/394/ca
"Supervisors, library, correspondence and related information workers","Business, finance and administration",supervisors-library-correspondence-and-related-information-workers,12012,67500,33.75,University degree,3700,1600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/12451/ca
"Supervisors, supply chain, tracking and scheduling coordination occupations","Business, finance and administration",supervisors-supply-chain-tracking-and-scheduling-coordination-occupations,12013,67500,33.75,University degree,81400,37100,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/460/ca
Executive assistants,"Business, finance and administration",executive-assistants,12100,67500,33.75,University degree,41500,21600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/531/ca
Human resources and recruitment officers,"Business, finance and administration",human-resources-and-recruitment-officers,12101,67500,33.75,University degree,52100,18200,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/12513/ca
Procurement and purchasing agents and officers,"Business, finance and administration",procurement-and-purchasing-agents-and-officers,12102,67500,33.75,University degree,80500,42600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/553/ca
Conference and event planners,"Business, finance and administration",conference-and-event-planners,12103,67500,33.75,University degree,28400,10600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/12546/ca
Employment insurance and revenue officers,"Business, finance and administration",employment-insurance-and-revenue-officers,12104,67500,33.75,University degree,65700,23900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/618/ca
"Court reporters, medical transcriptionists and related occupations","Business, finance and administration",court-reporters-medical-transcriptionists-and-related-occupations,12110,67500,33.75,University degree,7900,5800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/1580/ca
Health information management occupations,"Business, finance and administration",health-information-management-occupations,12111,67500,33.75,University degree,6000,2900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/25614/ca
Records management technicians,"Business, finance and administration",records-management-technicians,12112,67500,33.75,University degree,8300,4600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/26664/ca
Statistical officers and related research support occupations,"Business, finance and administration",statistical-officers-and-related-research-support-occupations,12113,67500,33.75,University degree,6800,1200,-4,Moderate Surplus,Moderate risk of Surplus,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/26405/ca
Accounting technicians and bookkeepers,"Business, finance and administration",accounting-technicians-and-bookkeepers,12200,67500,33.75,University degree,204400,112900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/12562/ca
Insurance adjusters and claims examiners,"Business, finance and administration",insurance-adjusters-and-claims-examiners,12201,67500,33.75,University degree,46000,25100,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/12566/ca
Insurance underwriters,"Business, finance and administration",insurance-underwriters,12202,67500,33.75,University degree,28100,9300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/663/ca
"Assessors, business valuators and appraisers","Business, finance and administration",assessors-business-valuators-and-appraisers,12203,67500,33.75,University degree,17200,5500,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/862/ca
Administrative officers,"Business, finance and administration",administrative-officers,13100,58509,29.25,University degree,238500,107800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/12477/ca
Property administrators,"Business, finance and administration",property-administrators,13101,58509,29.25,University degree,48200,26100,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/17717/ca
Payroll administrators,"Business, finance and administration",payroll-administrators,13102,58509,29.25,University degree,53300,29900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/1641/ca
Administrative assistants,"Business, finance and administration",administrative-assistants,13110,58509,29.25,University degree,233800,110200,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/1557/ca
Legal administrative assistants,"Business, finance and administration",legal-administrative-assistants,13111,58509,29.25,University degree,54900,24100,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/1565/ca
Medical administrative assistants,"Business, finance and administration",medical-administrative-assistants,13112,58509,29.25,University degree,84300,43000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/12598/ca
"Customs, ship and other brokers","Business, finance and administration",customs-ship-and-other-brokers,13200,58509,29.25,University degree,7800,3400,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/882/ca
Production and transportation logistics coordinators,"Business, finance and administration",production-and-transportation-logistics-coordinators,13201,58509,29.25,University degree,33400,12900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/2476/ca
General office support workers,"Business, finance and administration",general-office-support-workers,14100,51300,25.65,University degree,129200,39500,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/14056/ca
Receptionists,"Business, finance and administration",receptionists,14101,51300,25.65,University degree,144600,52300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/24391/ca
Personnel clerks,"Business, finance and administration",personnel-clerks,14102,51300,25.65,University degree,12800,3800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/2306/ca
Court clerks and related court services occupations,"Business, finance and administration",court-clerks-and-related-court-services-occupations,14103,51300,25.65,University degree,8500,3900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/2309/ca
Survey interviewers and statistical clerks,"Business, finance and administration",survey-interviewers-and-statistical-clerks,14110,51300,25.65,University degree,6200,3300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/2372/ca
Data entry clerks,"Business, finance and administration",data-entry-clerks,14111,51300,25.65,University degree,36000,10900,-4,Moderate Surplus,Moderate risk of Surplus,Moderate signs of Surplus,https://www.jobbank.gc.ca/marketreport/summary-occupation/19209/ca
Desktop publishing operators and related occupations,"Business, finance and administration",desktop-publishing-operators-and-related-occupations,14112,51300,25.65,University degree,,,,Undetermined,Undetermined,N/A,https://www.jobbank.gc.ca/marketreport/summary-occupation/19261/ca
Accounting and related clerks,"Business, finance and administration",accounting-and-related-clerks,14200,51300,25.65,University degree,151100,67400,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/14079/ca
"Banking, insurance and other financial clerks","Business, finance and administration",banking-insurance-and-other-financial-clerks,14201,51300,25.65,University degree,28200,8800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/1656/ca
Collection clerks,"Business, finance and administration",collection-clerks,14202,51300,25.65,University degree,9800,4900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/19286/ca
Library assistants and clerks,"Business, finance and administration",library-assistants-and-clerks,14300,51300,25.65,University degree,15100,5900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/24861/ca
"Correspondence, publication and regulatory clerks","Business, finance and administration",correspondence-publication-and-regulatory-clerks,14301,51300,25.65,University degree,19100,8400,2,Balance,Balance,Moderate signs of Surplus,https://www.jobbank.gc.ca/marketreport/summary-occupation/2359/ca
Shippers and receivers,"Business, finance and administration",shippers-and-receivers,14400,51300,25.65,University degree,114600,40800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/15253/ca
Storekeepers and partspersons,"Business, finance and administration",storekeepers-and-partspersons,14401,51300,25.65,University degree,21600,7300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/19335/ca
Production logistics workers,"Business, finance and administration",production-logistics-workers,14402,51300,25.65,University degree,3100,1000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/2481/ca
Purchasing and inventory control workers,"Business, finance and administration",purchasing-and-inventory-control-workers,14403,51300,25.65,University degree,30000,10100,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/15274/ca
Dispatchers,"Business, finance and administration",dispatchers,14404,51300,25.65,University degree,33100,13400,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/19376/ca
Transportation route and crew schedulers,"Business, finance and administration",transportation-route-and-crew-schedulers,14405,51300,25.65,University degree,3400,1000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/15289/ca
Engineering managers,Natural and applied sciences,engineering-managers,20010,116829,58.41,College diploma or apprenticeship (2+ years),34300,16500,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Engineering%20managers
Architecture and science managers,Natural and applied sciences,architecture-and-science-managers,20011,116829,58.41,College diploma or apprenticeship (2+ years),16300,7400,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/296351/ca
Computer and information systems managers,Natural and applied sciences,computer-and-information-systems-managers,20012,116829,58.41,College diploma or apprenticeship (2+ years),124200,68300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/1449/ca
Physicists and astronomers,Natural and applied sciences,physicists-and-astronomers,21100,98172,49.09,College diploma or apprenticeship (2+ years),,,,Undetermined,Undetermined,N/A,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Physicists%20and%20astronomers
Chemists,Natural and applied sciences,chemists,21101,98172,49.09,College diploma or apprenticeship (2+ years),12100,4600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/20049/ca
Geoscientists and oceanographers,Natural and applied sciences,geoscientists-and-oceanographers,21102,98172,49.09,College diploma or apprenticeship (2+ years),10000,3700,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/2553/ca
Meteorologists and climatologists,Natural and applied sciences,meteorologists-and-climatologists,21103,98172,49.09,College diploma or apprenticeship (2+ years),,,,Undetermined,Undetermined,N/A,https://www.jobbank.gc.ca/marketreport/summary-occupation/2586/ca
Other professional occupations in physical sciences,Natural and applied sciences,other-professional-occupations-in-physical-sciences,21109,98172,49.09,College diploma or apprenticeship (2+ years),1800,900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Other%20professional%20occupations%20in%20physical%20sciences
Biologists and related scientists,Natural and applied sciences,biologists-and-related-scientists,21110,98172,49.09,College diploma or apprenticeship (2+ years),30900,6600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/2621/ca
Forestry professionals,Natural and applied sciences,forestry-professionals,21111,98172,49.09,College diploma or apprenticeship (2+ years),4200,1400,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Forestry%20professionals
"Agricultural representatives, consultants and specialists",Natural and applied sciences,agricultural-representatives-consultants-and-specialists,21112,98172,49.09,College diploma or apprenticeship (2+ years),5600,2000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/15316/ca
Public and environmental health and safety professionals,Natural and applied sciences,public-and-environmental-health-and-safety-professionals,21120,98172,49.09,College diploma or apprenticeship (2+ years),12100,4000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/22691/ca
Architects,Natural and applied sciences,architects,21200,98172,49.09,College diploma or apprenticeship (2+ years),26900,7300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/17867/ca
Landscape architects,Natural and applied sciences,landscape-architects,21201,98172,49.09,College diploma or apprenticeship (2+ years),3300,800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Landscape%20architects
Urban and land use planners,Natural and applied sciences,urban-and-land-use-planners,21202,98172,49.09,College diploma or apprenticeship (2+ years),15600,4100,2,Balance,Balance,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/22460/ca
Land surveyors,Natural and applied sciences,land-surveyors,21203,98172,49.09,College diploma or apprenticeship (2+ years),7200,1500,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/24416/ca
"Mathematicians, statisticians and actuaries",Natural and applied sciences,mathematicians-statisticians-and-actuaries,21210,98172,49.09,College diploma or apprenticeship (2+ years),16000,4500,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/5461/ca
Data scientists,Natural and applied sciences,data-scientists,21211,98172,49.09,College diploma or apprenticeship (2+ years),36600,10000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/17887/ca
Cybersecurity specialists,Natural and applied sciences,cybersecurity-specialists,21220,98172,49.09,College diploma or apprenticeship (2+ years),31800,15900,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/296516/ca
Business systems specialists,Natural and applied sciences,business-systems-specialists,21221,98172,49.09,College diploma or apprenticeship (2+ years),34900,19300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/22495/ca
Information systems specialists,Natural and applied sciences,information-systems-specialists,21222,98172,49.09,College diploma or apprenticeship (2+ years),229400,126900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/22518/ca
Database analysts and data administrators,Natural and applied sciences,database-analysts-and-data-administrators,21223,98172,49.09,College diploma or apprenticeship (2+ years),52400,29800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/17877/ca
Computer systems developers and programmers,Natural and applied sciences,computer-systems-developers-and-programmers,21230,98172,49.09,College diploma or apprenticeship (2+ years),45700,14600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/22529/ca
Software engineers and designers,Natural and applied sciences,software-engineers-and-designers,21231,98172,49.09,College diploma or apprenticeship (2+ years),113100,46900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/296118/ca
Software developers and programmers,Natural and applied sciences,software-developers-and-programmers,21232,98172,49.09,College diploma or apprenticeship (2+ years),155700,76300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/22548/ca
Web designers,Natural and applied sciences,web-designers,21233,98172,49.09,College diploma or apprenticeship (2+ years),13100,3800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/17894/ca
Web developers and programmers,Natural and applied sciences,web-developers-and-programmers,21234,98172,49.09,College diploma or apprenticeship (2+ years),28700,8300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/17890/ca
Civil engineers,Natural and applied sciences,civil-engineers,21300,98172,49.09,College diploma or apprenticeship (2+ years),65600,21800,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/22376/ca
Mechanical engineers,Natural and applied sciences,mechanical-engineers,21301,98172,49.09,College diploma or apprenticeship (2+ years),44900,12000,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/2758/ca
Electrical and electronics engineers,Natural and applied sciences,electrical-and-electronics-engineers,21310,98172,49.09,College diploma or apprenticeship (2+ years),41300,14900,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/17799/ca
Computer engineers (except software engineers and designers),Natural and applied sciences,computer-engineers-except-software-engineers-and-designers,21311,98172,49.09,College diploma or apprenticeship (2+ years),32500,15400,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/2867/ca
Chemical engineers,Natural and applied sciences,chemical-engineers,21320,98172,49.09,College diploma or apprenticeship (2+ years),14100,4200,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/2789/ca
Industrial and manufacturing engineers,Natural and applied sciences,industrial-and-manufacturing-engineers,21321,98172,49.09,College diploma or apprenticeship (2+ years),20400,6800,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/22450/ca
Metallurgical and materials engineers,Natural and applied sciences,metallurgical-and-materials-engineers,21322,98172,49.09,College diploma or apprenticeship (2+ years),,,,Undetermined,Undetermined,N/A,https://www.jobbank.gc.ca/marketreport/summary-occupation/17857/ca
Mining engineers,Natural and applied sciences,mining-engineers,21330,98172,49.09,College diploma or apprenticeship (2+ years),5300,1300,2,Balance,Balance,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/2816/ca
Geological engineers,Natural and applied sciences,geological-engineers,21331,98172,49.09,College diploma or apprenticeship (2+ years),3500,1500,6,Moderate Shortage,Moderate risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/22455/ca
Petroleum engineers,Natural and applied sciences,petroleum-engineers,21332,98172,49.09,College diploma or apprenticeship (2+ years),11300,2100,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Petroleum%20engineers
Aerospace engineers,Natural and applied sciences,aerospace-engineers,21390,98172,49.09,College diploma or apprenticeship (2+ years),5400,2300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/2845/ca
Other professional engineers,Natural and applied sciences,other-professional-engineers,21399,98172,49.09,College diploma or apprenticeship (2+ years),42900,12400,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/5415/ca
Chemical technologists and technicians,Natural and applied sciences,chemical-technologists-and-technicians,22100,70200,35.1,College diploma or apprenticeship (2+ years),26300,10500,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/2925/ca
Geological and mineral technologists and technicians,Natural and applied sciences,geological-and-mineral-technologists-and-technicians,22101,70200,35.1,College diploma or apprenticeship (2+ years),9100,2300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/3040/ca
Biological technologists and technicians,Natural and applied sciences,biological-technologists-and-technicians,22110,70200,35.1,College diploma or apprenticeship (2+ years),6700,1000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/3090/ca
Agricultural and fish products inspectors,Natural and applied sciences,agricultural-and-fish-products-inspectors,22111,70200,35.1,College diploma or apprenticeship (2+ years),2000,600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/3183/ca
Forestry technologists and technicians,Natural and applied sciences,forestry-technologists-and-technicians,22112,70200,35.1,College diploma or apprenticeship (2+ years),6200,2300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/17935/ca
Conservation and fishery officers,Natural and applied sciences,conservation-and-fishery-officers,22113,70200,35.1,College diploma or apprenticeship (2+ years),3200,1000,-4,Moderate Surplus,Moderate risk of Surplus,Moderate signs of Surplus,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Conservation%20and%20fishery%20officers
Landscape and horticulture technicians and specialists,Natural and applied sciences,landscape-and-horticulture-technicians-and-specialists,22114,70200,35.1,College diploma or apprenticeship (2+ years),15100,6400,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/22570/ca
Architectural technologists and technicians,Natural and applied sciences,architectural-technologists-and-technicians,22210,70200,35.1,College diploma or apprenticeship (2+ years),9300,2600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/3396/ca
Industrial designers,Natural and applied sciences,industrial-designers,22211,70200,35.1,College diploma or apprenticeship (2+ years),10000,2900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/3406/ca
Drafting technologists and technicians,Natural and applied sciences,drafting-technologists-and-technicians,22212,70200,35.1,College diploma or apprenticeship (2+ years),37700,9000,2,Balance,Balance,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/3435/ca
Land survey technologists and technicians,Natural and applied sciences,land-survey-technologists-and-technicians,22213,70200,35.1,College diploma or apprenticeship (2+ years),7400,1400,-8,Strong Surplus,Strong risk of Surplus,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/18086/ca
Technical occupations in geomatics and meteorology,Natural and applied sciences,technical-occupations-in-geomatics-and-meteorology,22214,70200,35.1,College diploma or apprenticeship (2+ years),8700,1400,-8,Strong Surplus,Strong risk of Surplus,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/3486/ca
Computer network and web technicians,Natural and applied sciences,computer-network-and-web-technicians,22220,70200,35.1,College diploma or apprenticeship (2+ years),40800,13600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/3757/ca
User support technicians,Natural and applied sciences,user-support-technicians,22221,70200,35.1,College diploma or apprenticeship (2+ years),119200,52600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/3760/ca
Information systems testing technicians,Natural and applied sciences,information-systems-testing-technicians,22222,70200,35.1,College diploma or apprenticeship (2+ years),20000,5600,-8,Strong Surplus,Strong risk of Surplus,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/3951/ca
Non-destructive testers and inspectors,Natural and applied sciences,non-destructive-testers-and-inspectors,22230,70200,35.1,College diploma or apprenticeship (2+ years),4800,1600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/3561/ca
Engineering inspectors and regulatory officers,Natural and applied sciences,engineering-inspectors-and-regulatory-officers,22231,70200,35.1,College diploma or apprenticeship (2+ years),7100,3200,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/18120/ca
Occupational health and safety specialists,Natural and applied sciences,occupational-health-and-safety-specialists,22232,70200,35.1,College diploma or apprenticeship (2+ years),33400,17300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/22692/ca
Construction inspectors,Natural and applied sciences,construction-inspectors,22233,70200,35.1,College diploma or apprenticeship (2+ years),25700,13000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/3600/ca
Civil engineering technologists and technicians,Natural and applied sciences,civil-engineering-technologists-and-technicians,22300,70200,35.1,College diploma or apprenticeship (2+ years),27400,7300,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/17974/ca
